sampno,vehno,vehyear,make,make_o,model,model_o,body,body_o,fuel,fuel_o,transp,parkd,parkd_o
30000321,1,2004,37,-1,37421,-1,3,-1,1,-1,2,3,-1
30000325,1,2016,32,-1,32042,-1,1,-1,1,-1,1,3,-1
30000325,2,2011,51,-1,51043,-1,1,-1,1,-1,2,3,-1
30000325,3,1986,31,-1,31031,-1,1,-1,1,-1,2,2,-1
30000481,1,2015,32,-1,32048,-1,1,-1,1,-1,1,3,-1
30000598,1,2006,37,-1,37031,-1,1,-1,1,-1,2,1,-1
30000618,1,-7,-7,-1,-7,-1,1,-1,1,-1,2,2,-1
30000642,1,2008,69,-1,69054,-1,1,-1,1,-1,1,3,-1
30000646,1,2014,37,-1,37032,-1,1,-1,1,-1,1,3,-1
30000842,1,2017,12,-1,12402,-1,1,-1,1,-1,1,3,-1
30000842,2,2005,12,-1,12402,-1,1,-1,1,-1,1,2,-1
30000842,3,2004,12,-1,12481,-1,4,-1,1,-1,1,3,-1
30000842,4,2003,37,-1,37739,-1,7,-1,1,-1,2,3,-1
30000844,1,2009,2,-1,2406,-1,3,-1,1,-1,2,1,-1
30000926,1,2012,49,-1,49040,-1,1,-1,1,-1,1,3,-1
30001049,1,2009,49,-1,49032,-1,1,-1,1,-1,1,1,-1
30001068,1,2010,55,-1,55035,-1,1,-1,1,-1,2,3,-1
30001108,1,2015,23,-1,23880,-1,4,-1,3,-1,1,3,-1
30001193,1,2007,30,-1,30046,-1,1,-1,1,-1,1,3,-1
30001248,1,2003,37,-1,37032,-1,1,-1,1,-1,1,3,-1
30001289,1,2013,51,-1,51047,-1,1,-1,1,-1,1,3,-1
30001289,2,2012,51,-1,51401,-1,3,-1,1,-1,1,3,-1
30001293,1,2004,22,-1,22032,-1,1,-1,1,-1,2,1,-1
30001333,1,2008,20,-1,20029,-1,1,-1,1,-1,1,3,-1
30001333,2,2008,20,-1,20404,-1,1,-1,1,-1,1,3,-1
30001371,1,2014,35,-1,35049,-1,3,-1,1,-1,1,2,-1
30001371,2,2004,35,-1,35049,-1,3,-1,1,-1,1,2,-1
30001443,1,2012,49,-1,49046,-1,1,-1,3,-1,1,3,-1
30001443,2,2010,49,-1,49032,-1,1,-1,1,-1,2,1,-1
30001444,1,2004,20,-1,20016,-1,1,-1,1,-1,1,3,-1
30001467,1,2015,37,-1,37039,-1,1,-1,1,-1,1,3,-1
30001542,1,2017,35,-1,35049,-1,3,-1,1,-1,2,3,-1
30001842,1,2002,37,-1,37032,-1,1,-1,1,-1,2,2,-1
30001897,1,2009,37,-1,37402,-1,3,-1,1,-1,1,3,-1
30001907,1,2001,20,-1,20037,-1,1,-1,1,-1,1,3,-1
30001907,2,1994,35,-1,35047,-1,1,-1,1,-1,2,1,-1
30001907,3,1992,49,-1,49040,-1,1,-1,1,-1,2,3,-1
30001917,1,2010,35,-1,35043,-1,1,-1,1,-1,1,1,-1
30001917,2,1999,20,-1,20016,-1,1,-1,1,-1,1,3,-1
30002054,1,2012,35,-1,35047,-1,1,-1,1,-1,1,1,-1
30002054,2,2015,37,-1,37031,-1,1,-1,1,-1,2,1,-1
30002089,1,2004,18,-1,18002,-1,1,-1,1,-1,1,3,-1
30002095,1,2013,49,-1,49046,-1,1,-1,3,-1,1,3,-1
30002095,2,2007,99,-1,98706,-1,7,-1,1,-1,2,3,-1
30002106,1,2008,37,-1,37403,-1,3,-1,1,-1,1,3,-1
30002217,1,2002,48,-1,48401,-1,3,-1,1,-1,1,3,-1
30002280,1,2016,35,-1,35047,-1,1,-1,1,-1,1,3,-1
30002280,2,2014,37,-1,37039,-1,1,-1,1,-1,1,3,-1
30002464,1,2014,12,-1,12037,-1,1,-1,1,-1,2,3,-1
30002526,1,2008,48,-1,48038,-1,1,-1,1,-1,1,3,-1
30002561,1,2015,54,-1,54421,-1,3,-1,1,-1,1,2,-1
30002561,2,2006,37,-1,37441,-1,2,-1,1,-1,1,2,-1
30002561,3,1999,20,-1,12481,-1,2,-1,1,-1,1,2,-1
30002684,1,2017,48,-1,48045,-1,1,-1,1,-1,1,3,-1
30002684,2,2008,49,-1,49402,-1,3,-1,1,-1,1,2,-1
30002699,1,2017,30,-1,30040,-1,1,-1,1,-1,1,2,-1
30002700,1,2015,49,-1,49046,-1,1,-1,3,-1,1,3,-1
30002700,2,2002,37,-1,37032,-1,1,-1,1,-1,1,3,-1
30002714,1,2017,6,-1,6054,-1,2,-1,1,-1,2,3,-1
30002714,2,2015,2,-1,2408,-1,3,-1,1,-1,1,3,-1
30002714,3,2010,41,-1,41402,-1,3,-1,1,-1,2,1,-1
30002824,1,2009,49,-1,49047,-1,1,-1,1,-1,1,2,-1
30002916,1,2010,19,-1,19020,-1,3,-1,1,-1,2,3,-1
30002916,2,1999,20,-1,20441,-1,2,-1,1,-1,2,3,-1
30002933,1,2011,63,-1,63402,-1,3,-1,1,-1,1,2,-1
30002933,2,2002,6,-1,6442,-1,2,-1,1,-1,1,3,-1
30003029,1,2015,59,-1,59031,-1,1,-1,1,-1,2,3,-1
30003029,2,2012,63,-1,63034,-1,1,-1,1,-1,1,1,-1
30003029,3,2001,37,-1,37032,-1,1,-1,1,-1,1,1,-1
30003044,1,2004,59,-1,59031,-1,1,-1,1,-1,1,3,-1
30003366,1,2017,67,-1,67036,-1,1,-1,1,-1,1,1,-1
30003366,2,2008,41,-1,41051,-1,1,-1,1,-1,2,1,-1
30003374,1,1984,12,-1,12013,-1,1,-1,1,-1,2,3,-1
30003408,1,2005,7,-1,7482,-1,4,-1,1,-1,1,1,-1
30003408,2,2004,14,-1,14401,-1,3,-1,1,-1,1,2,-1
30003490,1,2014,48,-1,48403,-1,3,-1,1,-1,1,3,-1
30003597,1,2017,48,-1,48038,-1,1,-1,1,-1,1,3,-1
30003695,1,2009,49,-1,49040,-1,1,-1,1,-1,1,2,-1
30003805,1,2005,49,-1,49040,-1,1,-1,1,-1,1,1,-1
30003805,2,2002,20,-1,20036,-1,1,-1,1,-1,2,2,-1
30003949,1,2012,7,-1,7442,-1,2,-1,1,-1,1,3,-1
30003949,2,2009,49,-1,49047,-1,1,-1,1,-1,1,3,-1
30003980,1,2010,32,-1,32048,-1,1,-1,1,-1,1,1,-1
30004003,1,2008,42,-1,42040,-1,1,-1,1,-1,1,3,-1
30004014,1,1999,49,-1,49032,-1,1,-1,1,-1,2,2,-1
30004060,1,2013,12,-1,12023,-1,1,-1,3,-1,1,3,-1
30004145,1,2012,48,-1,48034,-1,1,-1,1,-1,1,3,-1
30004216,1,2008,49,-1,49442,-1,2,-1,1,-1,1,3,-1
30004261,1,2018,42,-1,42040,-1,1,-1,1,-1,1,3,-1
30004282,1,2016,12,-1,12037,-1,1,-1,1,-1,2,1,-1
30004389,1,2011,34,-1,34401,-1,3,-1,1,-1,1,2,-1
30004389,2,2006,55,-1,55037,-1,1,-1,1,-1,1,1,-1
30004407,1,2010,30,-1,30042,-1,1,-1,1,-1,1,3,-1
30004476,1,2011,35,-1,35051,-1,3,-1,1,-1,2,3,-1
30004476,2,2003,23,-1,23461,-1,2,-1,1,-1,2,1,-1
30004480,1,2007,58,-1,58037,-1,1,-1,1,-1,1,3,-1
30004480,2,2007,58,-1,58037,-1,1,-1,1,-1,1,3,-1
30004573,1,2011,12,-1,12023,-1,1,-1,1,-1,1,2,-1
30004598,1,2009,63,-1,63401,-1,3,-1,1,-1,1,3,-1
30004766,1,2014,52,-1,52047,-1,3,-1,1,-1,2,3,-1
30004766,2,2009,52,-1,52047,-1,3,-1,1,-1,1,2,-1
30004791,1,2011,48,-1,48401,-1,1,-1,1,-1,1,2,-1
30004791,2,2007,37,-1,37032,-1,1,-1,1,-1,1,2,-1
30004791,3,2006,37,-1,37706,-1,7,-1,1,-1,2,2,-1
30004919,1,2017,63,-1,63402,-1,3,-1,1,-1,1,2,-1
30004919,2,2006,37,-1,37031,-1,1,-1,1,-1,2,2,-1
30005007,1,2017,48,-1,48045,-1,1,-1,1,-1,1,3,-1
30005313,1,2017,20,-1,20406,-1,3,-1,1,-1,1,2,-1
30005313,2,2001,20,-1,20471,-1,4,-1,1,-1,2,2,-1
30005363,1,2017,35,-1,35047,-1,1,-1,1,-1,1,3,-1
30005383,1,2017,19,-1,19023,-1,3,-1,1,-1,1,3,-1
30005383,2,2006,23,-1,23481,-1,4,-1,1,-1,2,2,-1
30005665,1,2014,55,-1,55035,-1,1,-1,1,-1,1,3,-1
30005665,2,2007,12,-1,12017,-1,1,-1,1,-1,1,3,-1
30005688,1,2007,20,-1,20039,-1,1,-1,1,-1,1,3,-1
30005724,1,2012,20,-1,20025,-1,1,-1,1,-1,2,2,-1
30005737,1,2005,23,-1,23401,-1,3,-1,1,-1,1,3,-1
30005737,2,1998,19,-1,19005,-1,1,-1,1,-1,1,3,-1
30005804,1,2001,35,-1,35043,-1,1,-1,1,-1,2,2,-1
30005864,1,2011,63,-1,63034,-1,1,-1,1,-1,1,3,-1
30005910,1,2011,62,-1,62421,-1,3,-1,1,-1,1,3,-1
30005910,2,2004,42,-1,42048,-1,1,-1,1,-1,2,3,-1
30005922,1,2014,49,-1,49032,-1,1,-1,1,-1,1,1,-1
30005927,1,2006,6,-1,6054,-1,1,-1,1,-1,1,1,-1
30005927,2,1998,49,-1,49032,-1,1,-1,1,-1,2,1,-1
30005956,1,2016,37,-1,37039,-1,1,-1,1,-1,1,3,-1
30006014,1,2018,48,-1,48401,-1,2,-1,1,-1,1,3,-1
30006046,1,2013,55,-1,55033,-1,1,-1,1,-1,2,3,-1
30006139,1,2007,30,-1,30040,-1,1,-1,1,-1,2,3,-1
30006178,1,2014,49,-1,49402,-1,3,-1,1,-1,1,2,-1
30006190,1,2009,37,-1,37031,-1,1,-1,1,-1,1,1,-1
30006228,1,2005,48,-1,48401,-1,1,-1,1,-1,1,3,-1
30006228,2,1997,48,-1,48038,-1,1,-1,1,-1,1,3,-1
30006255,1,2009,48,-1,48401,-1,3,-1,1,-1,2,1,-1
30006255,2,2009,35,-1,35047,-1,1,-1,1,-1,2,1,-1
30006322,1,2017,58,-1,58041,-1,1,-1,1,-1,1,3,-1
30006322,2,2011,49,-1,49043,-1,1,-1,1,-1,1,3,-1
30006366,1,2014,12,-1,12037,-1,1,-1,1,-1,1,3,-1
30006408,1,2013,12,-1,12027,-1,1,-1,3,-1,1,3,-1
30006408,2,2008,49,-1,49046,-1,1,-1,3,-1,2,3,-1
30006468,1,2003,20,-1,20037,-1,1,-1,1,-1,2,1,-1
30006519,1,2016,48,-1,48401,-1,3,-1,1,-1,1,3,-1
30006537,1,2012,49,-1,49040,-1,1,-1,1,-1,2,3,-1
30006558,1,2015,63,-1,63401,-1,3,-1,1,-1,1,1,-1
30006601,1,2015,37,-1,37039,-1,1,-1,1,-1,1,3,-1
30006601,2,2011,62,-1,62421,-1,3,-1,1,-1,1,3,-1
30006662,1,2016,63,-1,63038,-1,1,-1,1,-1,1,2,-1
30006808,1,2007,34,-1,34034,-1,1,-1,1,-1,1,3,-1
